,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,,,
"Table Title: Singapore Citizens By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,,,
,,,,,,,,,,,,
Data last updated: 29/09/2023,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Number
  60 - 64 Years,51135,48101,47138,47425,46948,44707,43602,42924,42120,40784,28063,21852
  65 - 69 Years,42158,40928,40166,39393,38174,36190,34028,32223,30670,29669,23950,15282
  70 - 74 Years,32631,30518,28594,27024,25923,25599,25136,24511,24138,23848,16555,9090
  75 - 79 Years,20760,20118,19572,19180,18969,18520,18319,18243,18024,17830,9832,5242
  80 - 84 Years,13211,13058,12906,12773,12654,12460,12113,11471,10762,10037,4532,na
  85 - 89 Years,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,119340,114863,110929,107406,104261,100679,97002,93254,89875,87250,57646,33381
  70 Years & Over,77183,73936,70763,68013,66087,64488,62975,61031,59205,57581,33696,18099
  75 Years & Over,44551,43418,42169,40990,40165,38889,37839,36519,35067,33733,17141,9009
  80 Years & Over,23791,23299,22597,21810,21196,20369,19519,18277,17043,15903,7309,3767
  85 Years & Over,10581,10241,9692,9037,8543,7909,7406,6806,6282,5866,2777,na
  90 Years & Over,na,na,na,na,na,na,na,na,na,na,na,na
Total Malays,437822,431765,425160,418649,411883,404793,397110,389418,381690,373786,306027,264361
  0 - 4 Years,44116,45524,46537,47467,48338,49007,48729,48104,46650,45160,28329,41131
  5 - 9 Years,49200,48796,47988,46408,44746,42935,41073,39692,38502,36909,33204,47990
  10 - 14 Years,42506,40636,39327,38222,36761,34678,32615,30262,28425,26961,38761,40710
  15 - 19 Years,34565,32618,30338,28539,27041,26856,27262,28573,29855,31103,45998,29871
  20 - 24 Years,26887,27305,28585,29852,31075,31276,32170,33034,35087,37670,38721,20774
  25 - 29 Years,31185,32042,32864,34826,37348,40423,43199,45006,45811,45921,28499,10360
  30 - 34 Years,39840,42563,44344,45231,45407,45341,44271,43139,41412,39591,20379,13242
  35 - 39 Years,44714,43675,42583,40909,39132,37143,35422,33269,31230,28944,10583,13427
  40 - 44 Years,36643,34993,32898,30882,28656,26747,24624,23177,22374,20235,12447,13743
  45 - 49 Years,26393,24327,22884,22107,19980,17376,15722,13618,11221,11136,12375,10923
  50 - 54 Years,17018,15401,13322,10988,10912,11449,11491,11749,11848,11846,12082,7764
  55 - 59 Years,10995,11027,11257,11348,11321,11834,11954,12092,12274,11944,9556,5690
  60 - 64 Years,10909,11005,11115,11287,10951,10261,9983,10099,10432,10490,6623,3974
  65 - 69 Years,9022,8689,8753,9003,9076,8827,8407,8098,7880,7515,4016,2378
  70 - 74 Years,7214,6851,6496,6256,5959,5744,5517,5215,4818,4527,2498,1333
  75 - 79 Years,4037,3839,3611,3313,3155,2837,2583,2398,2248,2273,1213,553
  80 - 84 Years,1687,1543,1390,1288,1328,1392,1443,1329,1141,1078,491,na
  85 - 89 Years,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,22853,21851,21120,20584,20219,19467,18594,17605,16570,15876,8470,4762
  70 Years & Over,13830,13162,12367,11580,11143,10640,10186,9507,8690,8361,4454,2384
  75 Years & Over,6617,6311,5871,5324,5184,4896,4670,4292,3872,3834,1956,1051
  80 Years & Over,2579,2472,2260,2011,2030,2059,2087,1894,1624,1561,743,498
  85 Years & Over,893,929,870,723,702,667,645,566,483,483,252,na
  90 Years & Over,na,na,na,na,na,na,na,na,na,na,na,na
Total Male Malays,222215,219269,216207,213090,209857,206566,202877,199159,195579,191744,158408,137734
  0 - 4 Years,22841,23481,24079,24428,24938,25236,25051,24659,23929,23104,14710,20771
  5 - 9 Years,25336,25075,24611,23820,22896,21969,21018,20358,19841,19039,17115,24386
  10 - 14 Years,21759,20811,20164,19698,18946,17980,16885,15690,14777,14003,19535,20617
  15 - 19 Years,17910,16867,15708,14810,14036,13953,14216,14906,15512,16115,23492,15021
  20 - 24 Years,13881,14154,14830,15421,16003,16021,16404,16881,17901,19261,19760,10677
  25 - 29 Years,15841,16178,16619,17569,18862,20429,22001,22917,23488,23639,14437,5371
  30 - 34 Years,19925,21456,22348,22956,23136,23274,22773,22235,21385,20507,10523,6962
  35 - 39 Years,22722,22251,21725,20894,20032,18965,18116,17021,15885,14680,5405,6972
  40 - 44 Years,18495,17673,16636,15540,14388,13401,12277,11520,11226,10178,6492,7973
  45 - 49 Years,13099,12013,11262,10984,9956,8689,7873,6783,5455,5351,6189,6461
  50 - 54 Years,8444,7643,6594,5298,5181,5473,5463,5687,5967,6055,6671,4531
  55 - 59 Years,5194,5189,5397,5654,5718,5932,5940,5917,5847,5648,5604,3176
  60 - 64 Years,5390,5399,5358,5290,5092,4817,4852,4999,5293,5517,3841,2155
  65 - 69 Years,4147,4144,4258,4483,4669,4667,4539,4458,4386,4202,2205,1446
  70 - 74 Years,3709,3594,3496,3397,3262,3196,3056,2919,2686,2485,1357,717
  75 - 79 Years,2178,2073,1969,1800,1721,1525,1354,1241,1167,1160,699,282
  80 - 84 Years,899,801,711,680,671,706,729,677,578,554,259,na
  85 - 89 Years,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,11378,11079,10874,10729,10675,10426,10008,9584,9073,8647,4634,2661
  70 Years & Over,7231,6934,6617,6246,6006,5759,5469,5126,4687,4445,2429,1215
  75 Years & Over,3522,3340,3120,2849,2745,2563,2413,2208,2002,1960,1072,498
  80 Years & Over,1344,1267,1152,1049,1024,1038,1060,967,834,800,373,216
  85 Years & Over,445,467,441,369,353,331,331,290,256,246,114,na
  90 Years & Over,na,na,na,na,na,na,na,na,na,na,na,na
Total Female Malays,215608,212496,208953,205559,202027,198227,194233,190259,186111,182042,147619,126627
  0 - 4 Years,21275,22043,22458,23040,23400,23771,23678,23445,22721,22056,13619,20360
  5 - 9 Years,23864,23721,23376,22588,21851,20966,20056,19333,18661,17870,16089,23604
  10 - 14 Years,20747,19825,19163,18524,17816,16698,15730,14572,13648,12958,19226,20093
  15 - 19 Years,16655,15751,14630,13729,13005,12902,13046,13667,14343,14988,22506,14850
  20 - 24 Years,13006,13152,13754,14430,15072,15255,15766,16153,17186,18409,18961,10097
  25 - 29 Years,15343,15865,16245,17257,18487,19994,21198,22089,22323,22282,14062,4989
  30 - 34 Years,19914,21107,21996,22275,22271,22067,21499,20903,20027,19084,9856,6280
  35 - 39 Years,21992,21425,20857,20015,19100,18178,17306,16247,15345,14264,5178,6455
  40 - 44 Years,18149,17320,16262,15342,14268,13346,12347,11657,11149,10057,5955,5770
  45 - 49 Years,13294,12314,11622,11123,10024,8687,7849,6835,5766,5785,6186,4462
  50 - 54 Years,8574,7757,6728,5690,5731,5977,6028,6062,5881,5791,5411,3233
  55 - 59 Years,5802,5838,5860,5694,5603,5902,6014,6175,6426,6296,3952,2514
  60 - 64 Years,5520,5606,5757,5997,5859,5445,5131,5100,5139,4973,2782,1819
